1959	00	00	GH	NE	8	0	NKR		1	1708	1099	0	−	30	134
1959	00	00	NE	GH	0	4	NKR		-3	1096	1711	−	0	134	30
1961	12	25	TD	NE	2	2	JAM	CI	-11	1289	1107	−	0	115	139
1961	12	27	CB	NE	10	0	JAM	CI	6	1590	1101	+2	−1	46	140
1963	04	12	NG	NE	1	0	JAM	SN	1	1666	1100	0	0	35	141
1963	04	13	CM	NE	3	2	JAM	SN	4	1481	1096	0	0	76	141
1963	04	16	SN	NE	3	1	JAM		2	1610	1094	0	0	45	141
1964	12	28	DH	NE	4	2	AGQ	NG	5	1523	1089	+2	0	67	144
1964	12	30	TG	NE	3	0	AGQ	NG	4	1581	1085	0	−1	49	145
1965	01	01	NG	NE	4	0	AGQ		3	1519	1082	+1	0	68	145
1965	01	05	NE	UV	2	2	AGQ	NG	14	1096	1366	+1	−3	144	106
1965	04	00	NE	UV	1	0	F		15	1111	1351	+1	0	143	104
1966	02	27	NE	CD	2	1	F		18	1129	1584	+1	−1	144	49
1967	01	29	UV	NE	3	2	F		3	1346	1126	0	−1	103	146
1967	01	31	NE	CG	1	3	F		-4	1122	1545	0	+2	146	56
1967	04	21	LY	NE	2	0	OQ		5	1461	1117	+1	0	79	146
1967	08	01	NE	UV	2	3	F		-7	1110	1324	−2	+1	148	111
1967	09	24	NE	LY	2	2	OQ		12	1122	1434	+2	−3	146	86
1968	11	01	CI	NE	4	2	F		0	1736	1122	0	0	25	147
1968	11	24	NE	CI	0	0	F		9	1131	1727	+1	−1	146	26
1969	01	12	NE	GN	1	3	F		-3	1128	1624	−1	−1	147	45
1969	01	19	DH	NE	1	1	F		-8	1425	1136	−2	+1	87	146
1969	04	04	GN	NE	5	0	F		1	1617	1135	0	0	45	146
1969	08	17	GH	NE	6	0	FQ		3	1629	1132	+1	0	45	146
1969	09	21	NE	GH	1	9	FQ		-9	1123	1638	0	+1	146	42
1970	03	22	UV	NE	3	3	F		-8	1376	1131	−1	0	98	146
1970	12	12	NE	ML	0	1	FQ		-6	1125	1552	0	+2	145	59
1970	12	27	ML	NE	3	1	FQ		3	1555	1122	+1	−1	59	146
1971	03	28	MA	NE	5	2	OQ		2	1672	1120	+1	0	38	146
1971	04	25	NE	MA	1	3	OQ		-4	1116	1664	−1	0	147	40
1971	12	19	NE	LY	0	1	F		-4	1112	1479	−2	+1	152	69
1972	09	17	UV	NE	2	0	AGQ		7	1367	1105	0	0	102	151
