1932	01	17	MU	RE	5	0	F		2	1502	1098	−	−	43	72
1933	08	06	RE	MU	1	4	F		-5	1093	1507	0	+2	76	44
1933	08	08	RE	MU	0	4	F		-5	1088	1512	0	+1	76	43
1933	08	10	RE	MU	0	2	F		-4	1084	1516	0	0	76	43
1947	07	00	MU	RE	2	1	TRE	MG	2	1518	1082	+1	0	51	97
1947	07	02	MG	RE	4	2	TRE		4	1404	1078	−	−1	68	98
1948	07	13	MU	RE	5	1	TRE		2	1534	1076	0	0	51	102
1948	07	15	MG	RE	2	1	TRE	MU	4	1394	1072	+1	0	72	102
1949	07	12	RE	MG	1	3	TRE		-11	1061	1381	0	+1	104	73
1949	07	14	RE	MU	0	6	TRE		-6	1055	1564	0	+1	104	46
1950	07	01	MU	RE	15	2	TRE	MG	5	1569	1050	0	0	44	108
1950	07	05	MG	RE	2	3	TRE		-27	1333	1077	−3	0	82	108
1951	07	09	MG	RE	3	1	TRE	MU	8	1341	1069	+3	0	82	111
1951	07	12	MU	RE	10	2	TRE		2	1592	1067	0	0	41	111
1952	07	24	RE	MG	0	1	TRE		-9	1058	1331	0	+1	114	84
1952	07	27	RE	MU	1	4	TRE		-4	1054	1615	0	0	114	36
1953	07	13	MU	RE	9	4	TRE	MG	2	1617	1052	0	0	38	117
1953	07	16	MG	RE	6	4	TRE		5	1336	1047	+1	0	84	117
1954	07	11	RE	MG	6	2	TRE	MU	47	1094	1281	+2	−13	126	108
1954	07	18	MU	RE	11	0	TRE		2	1631	1092	0	−1	37	127
1955	07	07	RE	MU	1	3	TRE		-3	1089	1634	0	0	127	38
1955	07	10	RE	MG	2	4	TRE		-17	1072	1294	−1	+6	128	103
1956	06	30	MU	RE	8	3	TRE	MG	3	1611	1069	0	0	43	130
1956	07	05	MG	RE	4	2	TRE		5	1325	1064	0	0	97	130
1957	04	17	MU	RE	4	4	F		-10	1594	1074	0	0	47	133
1957	10	20	RE	MG	1	0	TRE	MU	24	1098	1308	+2	−4	131	103
1957	10	27	MU	RE	1	0	TRE		1	1601	1097	0	0	48	131
1958	10	16	RE	MU	0	2	TRE		-4	1093	1605	0	+2	132	45
1958	10	19	RE	MG	1	3	TRE		-16	1077	1318	−3	+2	135	101
1959	00	00	KE	RE	1	0	F		1	1424	1076	−1	−2	84	138
1959	09	27	RE	KE	3	1	TRE	MG	40	1116	1384	+6	−11	132	96
1959	10	03	MG	RE	6	1	TRE		9	1321	1107	+1	−1	103	133
1960	04	14	CB	RE	4	1	JCM	MG	4	1603	1103	0	−2	45	136
1963	09	08	RE	MU	2	0	TRE	MG	42	1145	1538	+3	−7	138	61
1963	09	15	MG	RE	6	1	TRE		6	1425	1139	0	0	88	138
1973	07	15	MU	RE	1	1	F		-6	1289	1145	−1	0	120	144
1974	03	13	RE	SC	2	0	F		6	1151	994	+1	−	142	162
1976	06	29	KE	RE	3	1	IOT	SC	7	1443	1144	+6	−1	79	141
1976	07	01	SC	RE	1	4	IOT		-27	1025	1171	−3	+3	160	138
1976	07	03	MU	RE	2	0	IOT	SC	20	1227	1151	+6	−2	127	140
1977	09	18	RE	MU	0	2	TRE		-23	1128	1260	−6	+5	146	123
1977	09	25	RE	SC	1	0	TRE		7	1135	1005	+2	−1	144	163
1978	05	13	RE	SC	4	1	F		7	1142	998	+4	−1	140	164
1978	05	18	RE	MU	5	3	F		15	1157	1235	+1	−2	139	126
1978	09	17	SC	RE	1	0	TRE		18	1016	1139	+2	−2	162	142
1978	09	24	RE	MU	0	2	TRE		-22	1117	1267	−3	+6	145	119
1979	08	26	RE	SC	3	0	IOG		12	1129	994	0	−2	145	163
1979	08	28	RE	MV	9	0	IOG		5	1134	777	0	0	145	180
1979	08	31	RE	KM	6	1	IOG		8	1142	888	+3	−1	142	174
1979	09	01	RE	SC	2	1	IOG		7	1149	1013	+2	0	140	161
1981	07	12	RE	MG	2	3	IOC		-7	1142	1456	−1	+1	144	79
1981	07	13	RE	MG	0	3	F		-8	1134	1464	0	+1	144	78
1981	07	14	RE	KE	1	3	IOC		-13	1121	1401	−3	+2	147	91
1981	07	19	RE	MU	1	2	IOC		-15	1106	1237	−2	+6	150	124
1982	07	18	ZW	RE	1	1	F		-9	1495	1115	0	+2	69	150
1982	07	25	ZW	RE	2	3	F		-19	1476	1134	−9	+4	78	146
1982	09	01	RE	ZW	0	1	IOT		-7	1127	1447	−3	+1	149	84
1982	09	05	RE	MU	1	1	IOT		2	1129	1271	+1	−2	148	120
1983	06	00	RE	MU	0	0	F		1	1130	1280	0	0	147	116
1983	06	19	RE	SC	2	1	F		4	1134	1009	+1	0	146	163
1983	06	23	RE	SC	0	0	F		-6	1128	1015	−2	0	148	163
1983	07	06	MU	RE	0	0	F		-6	1280	1134	−1	+2	117	146
1983	07	13	RE	MG	0	3	IOT		-10	1124	1505	−2	+2	148	69
1983	07	16	RE	MU	1	1	IOT		3	1127	1285	0	−1	148	116
1984	05	19	RE	TZ	1	1	IOT		7	1134	1384	+1	0	145	91
1985	06	30	RE	ZR	1	2	IOT		-3	1131	1607	−1	0	149	48
1985	07	01	RE	MW	2	8	IOT		-8	1123	1581	0	+2	149	51
1985	08	27	RE	KM	1	0	IOG	MU	6	1129	882	0	0	149	176
1985	08	30	RE	MV	9	0	IOG	MU	7	1136	733	+1	0	148	185
1985	08	31	MU	RE	4	4	IOG		-9	1265	1145	−1	+1	121	147
1986	05	09	GF	RE	3	3	BST	FR	-6	1288	1151	−4	+3	115	145
1986	06	06	MU	RE	0	1	F		-15	1250	1166	−4	+1	126	144
1986	06	13	RE	MU	0	0	F		0	1166	1250	0	0	144	126
1986	07	13	MU	RE	1	0	F		5	1255	1161	+1	−1	125	145
1986	07	20	RE	MU	0	0	F		0	1161	1255	0	0	145	125
1987	05	30	GP	RE	3	0	BST	FR	12	1378	1149	+2	−2	93	146
1987	06	14	RE	MG	0	1	IOT		-8	1141	1421	−2	0	148	86
1987	06	18	RE	CG	1	1	IOT		7	1148	1423	+2	−2	146	84
1987	06	21	RE	SC	3	1	IOT		8	1156	984	0	−1	146	167
1988	05	13	RE	TG	1	0	BST	FR	24	1180	1378	+3	−5	141	95
1990	08	11	RE	CG	2	1	F		13	1193	1380	+2	−5	140	97
1990	08	23	KM	RE	1	0	IOG	MG	26	901	1167	+5	−5	179	145
1990	08	25	MG	RE	0	0	IOG		-12	1462	1179	−1	+3	72	142
1993	05	20	RE	GP	3	0	BST	FR	36	1215	1280	+5	−11	150	134
1993	08	22	SC	RE	0	2	IOG		-15	985	1230	0	+5	189	145
1993	08	24	SC	RE	0	2	IOG		-14	971	1244	−1	+2	190	143
1993	08	26	RE	MU	1	0	IOG	SC	14	1258	1212	+4	−2	139	150
1993	08	29	MG	RE	1	0	IOG	SC	6	1508	1252	+1	−2	76	141
1998	08	07	RE	MU	4	0	IOG		14	1266	1142	0	−1	137	165
1998	08	11	RE	MU	1	0	IOG		6	1272	1136	+2	0	135	165
1998	08	13	RE	SC	2	0	IOG		4	1276	965	0	0	135	193
1998	08	15	RE	MG	3	3	IOG		5	1281	1481	+1	0	134	80
