1932	01	17	MU	RE	5	0	F		2	1502	1098	−	−	43	72
1933	08	06	RE	MU	1	4	F		-5	1093	1507	0	+2	76	44
1933	08	08	RE	MU	0	4	F		-5	1088	1512	0	+1	76	43
1933	08	10	RE	MU	0	2	F		-4	1084	1516	0	0	76	43
1947	07	00	MU	RE	2	1	TRE	MG	2	1518	1082	+1	0	51	97
1947	07	03	MG	MU	1	2	TRE		-14	1390	1532	−2	+2	70	49
1948	07	13	MU	RE	5	1	TRE		2	1534	1076	0	0	51	102
1948	07	17	MU	MG	4	1	TRE		11	1545	1383	+2	−3	49	75
1949	07	10	MU	MG	3	1	TRE	RE	13	1558	1370	+1	−1	48	74
1949	07	14	RE	MU	0	6	TRE		-6	1055	1564	0	+1	104	47
1950	07	01	MU	RE	15	2	TRE	MG	5	1569	1050	+1	0	44	108
1950	07	03	MG	MU	1	5	TRE		-21	1360	1590	−6	+3	79	40
1951	07	12	MU	RE	10	2	TRE		2	1592	1067	0	0	41	111
1951	07	15	MU	MG	7	1	TRE		7	1599	1334	+2	−1	39	84
1952	07	20	MU	MG	7	0	TRE	RE	12	1611	1322	+2	−2	36	86
1952	07	27	RE	MU	1	4	TRE		-4	1054	1615	0	0	114	36
1953	07	13	MU	RE	9	4	TRE	MG	2	1617	1052	0	0	38	117
1953	07	20	MG	MU	2	3	TRE		-8	1328	1625	−2	+2	86	36
1954	07	15	MU	MG	4	1	TRE		4	1629	1277	0	0	37	108
1954	07	18	MU	RE	11	0	TRE		2	1631	1092	0	−1	37	127
1955	07	07	RE	MU	1	3	TRE		-3	1089	1634	0	0	127	38
1955	07	14	MG	MU	2	1	TRE	RE	26	1320	1608	+8	−2	95	40
1956	06	30	MU	RE	8	3	TRE	MG	3	1611	1069	0	0	43	130
1956	07	08	MG	MU	3	3	TRE		7	1332	1604	0	−2	97	44
1957	04	17	MU	RE	4	4	F		-10	1594	1074	0	0	47	133
1957	10	24	MU	MG	4	0	TRE		6	1600	1302	+1	−1	48	104
1957	10	27	MU	RE	1	0	TRE		1	1601	1097	0	0	48	131
1958	10	16	RE	MU	0	2	TRE		-4	1093	1605	0	+2	132	45
1958	10	23	MG	MU	3	2	TRE	RE	25	1343	1580	+1	−4	100	49
1963	09	08	RE	MU	2	0	TRE	MG	42	1145	1538	+3	−7	138	61
1963	09	18	MG	MU	1	1	TRE		1	1426	1537	+1	0	87	61
1963	10	06	MU	ZD	1	0	F		6	1543	1477	+1	−1	60	74
1963	10	10	MU	ZD	2	0	F		8	1551	1469	+1	−2	59	76
1963	10	13	MU	ZD	3	1	F		8	1559	1461	+3	−2	55	78
1967	08	02	TZ	MU	1	0	FQ		31	1272	1528	+2	−9	125	62
1967	08	16	MU	TZ	1	1	FQ		-15	1513	1287	−3	+8	65	118
1967	11	25	RH	MU	1	2	F		-11	1443	1524	−3	+3	81	63
1967	11	26	RH	MU	2	3	F		-11	1432	1535	−5	0	86	63
1967	12	06	MU	ET	0	2	F		-19	1516	1560	−2	+5	65	57
1968	11	17	ZM	MU	2	2	FQ		-8	1552	1524	0	+1	59	67
1968	12	08	MU	ZM	2	3	FQ		-24	1500	1576	−3	+5	69	55
1970	07	06	MW	MU	1	0	IND		24	1166	1476	+2	−3	142	72
1970	07	09	MW	MU	0	0	IND		8	1174	1468	+2	0	140	73
1970	11	15	MG	MU	2	1	FQ		19	1404	1449	0	−7	94	80
1970	11	29	MU	MG	4	1	FQ		21	1470	1383	+6	0	73	94
1971	03	28	MG	MU	3	0	F		16	1414	1454	+3	−5	91	77
1971	06	27	MG	MU	1	1	F		-2	1432	1456	0	+1	84	76
1971	07	04	KE	MU	2	1	FQ		22	1341	1434	+5	−7	106	83
1971	07	18	MU	KE	0	0	FQ		-10	1424	1351	−3	+4	85	102
1972	05	22	MU	UG	1	2	F		-14	1410	1388	−5	+6	88	93
1972	05	28	MU	UG	1	3	F		-20	1390	1408	−5	+5	93	88
1972	10	06	TZ	MU	4	1	AGQ		29	1378	1361	+10	−8	97	103
1972	10	08	MU	LS	4	3	AGQ	TZ	10	1371	1166	+2	−1	101	141
1972	12	10	MU	KE	1	3	WQ		-36	1335	1438	−7	+13	107	79
1972	12	17	KE	MU	2	2	WQ		-11	1427	1346	−4	+1	83	106
1973	04	08	LS	MU	0	0	FQ		5	1161	1341	+1	0	141	105
1973	04	22	MU	LS	1	1	FQ		-13	1328	1174	−5	0	110	141
1973	05	27	TZ	MU	1	1	FQ		-8	1360	1336	−3	+2	103	107
1973	06	14	MU	TZ	0	0	FQ		-4	1332	1364	−1	+1	108	102
1973	07	06	MW	MU	4	1	IND		25	1276	1307	+3	−8	124	116
1973	07	08	MW	MU	1	0	IND		12	1288	1295	+3	−3	121	119
1973	07	15	MU	RE	1	1	F		-6	1289	1145	−1	+1	120	144
1974	01	13	MU	MW	4	1	F		13	1302	1288	+3	−2	115	118
1974	01	17	MU	MW	2	1	F		7	1309	1281	+2	−3	113	121
1974	01	20	MU	MW	2	2	F		-4	1305	1285	0	+3	113	119
1974	03	03	CG	MU	2	0	AR	EG	13	1587	1292	+2	−3	52	117
1974	03	05	GN	MU	2	1	AR	EG	7	1613	1285	0	−1	46	118
1974	03	07	ZR	MU	4	1	AR	EG	6	1744	1279	0	−4	27	122
1975	01	29	MW	MU	1	0	F		6	1339	1273	+2	0	107	122
1975	01	31	MW	MU	1	1	F		-4	1335	1277	−1	0	109	122
1975	02	02	MW	MU	3	0	F		10	1345	1267	+1	−2	107	124
1975	03	23	UG	MU	4	0	FQ		9	1512	1258	0	−1	65	125
1975	04	06	MU	UG	1	1	FQ		8	1266	1504	+3	−2	123	66
1975	05	04	ZM	MU	5	0	OQ		7	1585	1259	+1	−1	48	124
1975	05	18	MU	ZM	0	4	OQ		-16	1243	1601	−2	+3	126	45
1976	06	28	SC	MU	3	1	IOT		30	1052	1213	+3	−4	157	131
1976	07	02	KE	MU	4	3	IOT	SC	6	1449	1207	+3	−2	77	133
1976	07	03	MU	RE	2	0	IOT	SC	20	1227	1151	+6	−2	127	140
1976	10	10	ET	MU	3	0	F		5	1448	1222	+2	−1	81	130
1976	10	24	MW	MU	1	1	FQ		-14	1404	1236	−4	+2	94	128
1977	01	28	MU	MW	3	2	FQ		23	1259	1367	+4	−9	124	102
1977	03	20	MU	ET	2	3	FQ		-16	1243	1437	−2	+2	126	88
1977	04	03	ET	MU	1	0	FQ		6	1443	1237	+5	−2	83	128
1977	09	18	RE	MU	0	2	TRE		-23	1128	1260	−6	+4	146	123
1977	09	21	MU	SC	2	1	TRE	RE	6	1266	1012	+3	0	120	162
1978	01	24	MU	MW	1	2	AGQ		-16	1250	1453	−5	+7	126	77
1978	05	18	RE	MU	5	3	F		15	1157	1235	+1	−2	139	126
1978	09	20	MU	SC	2	0	TRE	RE	10	1245	1006	+2	−1	125	163
1978	09	24	RE	MU	0	2	TRE		-22	1117	1267	−3	+6	145	119
1978	12	03	MU	LS	0	1	FQ		-33	1234	1141	−7	+9	126	139
1978	12	17	LS	MU	1	2	FQ		-20	1121	1254	−5	+5	144	121
1979	04	15	MU	TZ	3	2	FQ		25	1279	1416	+4	−8	119	89
