1921	09	14	CR	SV	7	0	JCN	GT	10	1810	1490	−	−	13	32
1921	09	18	GT	CR	0	6	JCN		-16	1502	1826	−1	+1	31	12
1930	03	17	CR	GT	8	1	CAG	CU	12	1838	1489	+1	−2	10	44
1930	03	22	CR	SV	9	2	CAG	CU	13	1851	1520	0	0	10	41
1930	03	26	CR	SV	5	0	CAG	CU	10	1861	1510	0	0	10	41
1930	03	30	CU	CR	2	1	CAG		27	1661	1834	+3	0	23	10
1930	04	04	CR	HN	8	0	CAG	CU	8	1842	1411	0	0	10	51
1935	03	25	CR	GT	4	3	CAG	SV	4	1846	1443	0	0	12	56
1935	03	30	SV	CR	1	6	CAG		-10	1404	1856	−3	0	61	12
1935	03	31	CR	CU	2	1	CAG	SV	6	1862	1543	+1	0	11	42
1935	04	02	MX	CR	2	0	CAG	SV	43	1739	1819	0	−1	18	12
1935	04	03	CR	HN	6	0	CAG	SV	7	1826	1391	0	+1	12	60
1938	02	12	CR	SV	7	0	CAC	PA	9	1835	1431	0	−1	13	58
1938	02	16	PA	CR	0	11	CAC		-8	1274	1843	−1	0	80	13
1938	02	18	CR	CO	2	1	CAC	PA	3	1846	1423	0	0	13	59
1938	02	20	CR	VE	3	0	CAC	PA	2	1848	1270	0	0	13	81
1938	02	22	MX	CR	2	1	CAC	PA	23	1818	1825	0	0	14	13
1941	05	10	CR	NI	7	2	CCF		0	1825	998	0	0	14	93
1941	05	11	CR	PA	7	0	CCF		3	1828	1275	0	0	14	82
1941	05	13	CR	CW	6	2	CCF		10	1838	1551	+1	−1	13	46
1941	05	18	CR	SV	3	1	CCF		5	1843	1458	0	−1	13	57
1941	07	29	SV	CR	2	1	FT		25	1483	1818	+1	0	56	14
1941	08	05	SV	CR	1	4	FT		-11	1472	1829	0	0	56	14
1943	12	05	CR	NI	7	0	CCF	SV	1	1830	969	0	0	14	97
1943	12	07	GT	CR	3	2	CCF	SV	46	1440	1784	+2	−1	62	15
1943	12	09	SV	CR	4	2	CCF		59	1523	1725	+6	−3	52	18
1943	12	12	CR	NI	3	2	CCF	SV	1	1726	958	0	0	18	97
1943	12	16	GT	CR	4	2	CCF	SV	63	1496	1663	+4	−11	58	29
1943	12	19	SV	CR	2	4	CCF		-35	1503	1698	−6	+7	56	22
1946	02	24	CR	NI	7	1	CCF		1	1699	951	0	0	22	97
1946	02	26	CR	PA	7	0	CCF		6	1705	1304	+3	−1	19	76
1946	03	07	CR	HN	5	1	CCF		9	1714	1399	+2	−1	17	64
1946	03	10	CR	GT	1	4	CCF		-76	1638	1563	−18	+10	35	46
1946	03	13	CR	SV	4	0	CCF		21	1659	1500	+4	−4	31	56
1946	12	10	CR	PR	12	0	CAC	CO	1	1660	899	+2	−	31	100
1946	12	14	CR	VE	4	2	CAC	CO	6	1666	1268	+1	−2	30	87
1946	12	16	CR	GT	6	0	CAC	CO	21	1687	1446	+5	−3	25	60
1946	12	18	CO	CR	4	1	CAC		49	1487	1638	+7	−12	55	37
1946	12	20	CW	CR	4	2	CAC	CO	40	1563	1598	+5	−5	46	42
1946	12	21	PA	CR	2	0	CAC	CO	49	1386	1549	+6	−6	68	48
1948	02	29	CR	SV	3	1	CCF	GT	30	1579	1445	+6	−4	42	62
1948	03	01	CR	PA	7	0	CCF	GT	28	1607	1358	+3	−3	39	76
1948	03	03	GT	CR	1	1	CCF		4	1458	1603	0	0	59	39
1948	03	06	CR	CW	2	1	CCF	GT	18	1621	1488	+2	−2	37	57
1948	03	10	CR	PA	3	1	CCF	GT	13	1634	1338	+1	0	36	79
1948	03	17	GT	CR	3	2	CCF		30	1488	1604	+1	−3	57	39
1948	03	18	CR	SV	6	0	CCF	GT	27	1631	1391	+2	−4	37	71
1948	03	20	CW	CR	4	1	CCF	GT	71	1445	1560	+14	−8	61	45
1950	02	26	CR	SV	1	0	CAC	GT	11	1571	1383	+3	−3	43	73
1950	02	27	CR	AN	1	0	CAC	GT	12	1583	1419	+1	−1	42	69
1951	02	25	CR	NI	8	1	CCF	PA	3	1586	970	+1	−1	41	113
1951	02	27	PA	CR	2	0	CCF		40	1507	1546	+8	−8	55	49
1951	03	02	PA	CR	1	1	CCF		-4	1505	1550	−1	0	55	50
1951	03	03	CR	NI	4	1	CCF	PA	3	1553	965	+3	0	47	113
1951	03	05	CR	VE	3	1	PAG	AR	13	1566	1268	0	0	47	96
1953	03	08	CR	SV	5	1	CCF		16	1582	1377	+3	−5	42	82
1953	03	10	CR	PA	3	0	CCF		17	1599	1419	+2	−2	40	74
1953	03	13	CR	HN	4	1	CCF		14	1613	1391	+1	−1	39	77
1953	03	15	CR	AN	1	0	CCF		12	1625	1503	+4	−2	35	57
1953	03	17	CR	NI	3	0	CCF		1	1626	1016	0	0	35	117
1953	03	22	CR	GT	3	0	CCF		14	1640	1428	+4	−1	31	73
1955	07	24	CR	GT	9	1	F		7	1647	1421	0	−2	35	80
1955	07	31	GT	CR	3	1	F		20	1441	1627	+2	−2	78	37
1955	08	14	CR	AW	3	2	CCF	HN	12	1639	1413	+1	−2	36	82
1955	08	16	CR	CU	6	0	CCF	HN	19	1658	1358	+3	−2	33	90
1955	08	19	CR	SV	4	0	CCF	HN	19	1677	1399	+5	−2	28	83
1955	08	21	CR	GT	2	0	CCF	HN	17	1694	1451	+2	−4	26	76
1955	08	24	CR	CW	2	1	CCF	HN	12	1706	1487	+2	−1	24	66
1955	08	28	HN	CR	1	2	CCF		-15	1448	1721	−4	+1	76	23
1956	02	26	MX	CR	1	1	PAC		-3	1658	1724	−1	+1	32	21
1956	03	06	AR	CR	4	3	PAC	MX	7	2058	1717	0	−1	2	23
1956	03	08	CR	CL	2	1	PAC	MX	33	1750	1806	+3	−3	20	13
1956	03	13	BR	CR	7	1	PAC	MX	19	2032	1731	0	0	3	20
1956	03	17	CR	PE	4	2	PAC	MX	42	1773	1730	+5	−4	15	20
1957	02	10	GT	CR	2	6	WQ		-16	1435	1789	−2	+3	80	15
1957	02	17	CR	GT	3	1	WQ		4	1793	1431	0	−1	15	80
1957	03	03	CR	CW	4	0	WQ		10	1803	1552	0	−4	15	55
1957	08	04	CW	CR	1	2	WQ		-13	1567	1816	−1	+1	50	14
1957	10	20	MX	CR	2	0	WQ		28	1771	1788	+2	−2	18	16
1957	10	27	CR	MX	1	1	WQ		-6	1782	1777	−1	0	17	18
1959	03	01	MX	CR	3	1	JSC		20	1743	1762	+4	−3	22	19
1959	03	08	CR	MX	1	2	JSC		-20	1742	1763	−3	+4	22	18
1959	12	14	CR	HN	6	1	RVC	SV	10	1752	1442	+4	−2	22	80
1960	02	14	CR	AN	1	1	CCF	CU	-17	1735	1492	−3	+2	25	72
1960	02	17	CR	UM	3	1	CCF	CU	18	1753	1518	+3	−5	22	62
1960	02	21	CU	CR	0	5	CCF		-6	1169	1759	0	+1	128	21
1960	02	25	CR	HN	1	1	CCF	CU	-18	1741	1469	−4	+1	25	76
1960	02	29	CR	AN	4	0	CCF	CU	21	1762	1504	+6	−6	20	66
1960	03	08	CR	AR	0	0	PAC		8	1770	1966	+2	0	18	3
1960	03	10	CR	BR	3	0	PAC		60	1830	1950	+4	−2	14	3
1960	03	13	CR	MX	1	1	PAC		-10	1820	1787	−1	0	15	17
1960	03	15	CR	AR	0	2	PAC		-29	1791	2031	−1	0	16	1
1960	03	17	CR	BR	0	4	PAC		-40	1751	1982	−8	0	24	3
1960	03	19	CR	MX	0	3	PAC		-55	1696	1813	−9	+6	33	15
